ID,classe_real,score_EfficientNet-B0_cqcc,peso_EfficientNet-B0_cqcc,score_EfficientNet-B0_logmel,peso_EfficientNet-B0_logmel,score_EfficientNet-B0_stft,peso_EfficientNet-B0_stft,score_ResNet-18v2_cqt,peso_ResNet-18v2_cqt,score_final,decisao_final
PA_E_0000001,bonafide,-4.1652607917785645,0.17,-7.047053813934326,0.461,-6.582493305206299,0.191,2.0607340047718026e-05,0.178,-5.214038696013955,bonafide
PA_E_0000002,spoof,22.54581642150879,0.17,14.703133583068848,0.461,30.89462661743164,0.191,1.0,0.178,16.68980705738068,spoof
PA_E_0000003,spoof,13.585251808166504,0.17,8.840773582458496,0.461,16.206253051757812,0.191,1.0,0.178,9.658483761787416,spoof
PA_E_0000004,spoof,10.971092224121094,0.17,11.88349437713623,0.461,15.437536239624023,0.191,1.0,0.178,10.469946007728577,spoof
PA_E_0000005,spoof,15.278225898742676,0.17,17.608606338500977,0.461,18.560163497924805,0.191,1.0,0.178,14.437857152938843,spoof
PA_E_0000006,spoof,12.49513053894043,0.17,17.030128479003906,0.461,22.137861251831055,0.191,1.0,0.178,14.381392919540406,spoof
PA_E_0000007,bonafide,-7.430940628051758,0.17,-6.638062000274658,0.461,-6.996610641479492,0.191,6.650475170566494e-10,0.178,-5.659759121299622,bonafide
PA_E_0000008,spoof,8.889253616333008,0.17,14.49599552154541,0.461,19.197622299194336,0.191,1.0,0.178,12.038572909355166,spoof
PA_E_0000009,spoof,12.466419219970703,0.17,7.443728446960449,0.461,13.533096313476562,0.191,1.0,0.178,8.313671477317811,spoof
PA_E_0000010,spoof,9.227802276611328,0.17,10.372488975524902,0.461,15.063522338867188,0.191,1.0,0.178,9.40557657146454,spoof
PA_E_0000011,spoof,6.476537704467773,0.17,10.245906829833984,0.461,10.15118408203125,0.191,1.0,0.178,7.941250617980957,spoof
PA_E_0000012,spoof,8.579424858093262,0.17,7.445021629333496,0.461,7.589299201965332,0.191,0.9999998807907104,0.178,6.518213323354721,spoof
PA_E_0000013,spoof,16.273046493530273,0.17,14.254290580749512,0.461,21.10002899169922,0.191,1.0,0.178,13.545751399040224,spoof
PA_E_0000014,spoof,19.291820526123047,0.17,11.958691596984863,0.461,29.99320411682129,0.191,1.0,0.178,14.699268301963809,spoof
PA_E_0000015,spoof,12.589557647705078,0.17,11.993548393249512,0.461,11.74685287475586,0.191,0.9998617172241211,0.178,10.090874894142152,spoof
PA_E_0000016,spoof,9.984371185302734,0.17,14.091660499572754,0.461,22.33740234375,0.191,1.0,0.178,12.638042439460756,spoof
PA_E_0000017,spoof,11.814936637878418,0.17,10.531759262084961,0.461,14.265385627746582,0.191,1.0,0.178,9.766368903160096,spoof
PA_E_0000018,spoof,15.703393936157227,0.17,15.654616355895996,0.461,16.894033432006836,0.191,1.0,0.178,13.29111549472809,spoof
PA_E_0000019,bonafide,-6.413019180297852,0.17,-6.761678695678711,0.461,-6.56470251083374,0.191,1.1266588444414083e-05,0.178,-5.461203313475022,bonafide
