ensemble_id,models,weights,dev_eer_percent,dev_min_tdcf,eval_eer_percent,eval_min_tdcf
ensemble_04,EfficientNet-B0_cqcc + EfficientNet-B0_logmel + EfficientNet-B0_stft + ResNet-18v2_cqt,0.2728 + 0.1553 + 0.3173 + 0.2546,0.5710,0.015682,0.7839,0.020921
ensemble_01,EfficientNet-B0_cqcc + EfficientNet-B0_cqt + EfficientNet-B0_stft + ResNet-18v2_cqt,0.2500 + 0.2500 + 0.2500 + 0.2500,0.5710,0.015058,0.9224,0.022189
ensemble_07,EfficientNet-B0_cqcc + EfficientNet-B0_cqt + ResNet-18v2_cqt + ResNet-18v2_stft,0.2371 + 0.1165 + 0.4301 + 0.2163,0.6121,0.015971,1.1053,0.024164
ensemble_05,EfficientNet-B0_cqcc + ResNet-18v2_cqt + ResNet-18v2_logmel + ResNet-18v2_stft,0.0934 + 0.5952 + 0.2263 + 0.0850,0.6862,0.015840,1.1995,0.025511
ensemble_03,EfficientNet-B0_cqcc + EfficientNet-B0_stft + ResNet-18v2_cqt + ResNet-18v2_logmel,0.1974 + 0.1521 + 0.5903 + 0.0601,0.6142,0.015469,1.2106,0.025739
ensemble_02,EfficientNet-B0_cqcc + EfficientNet-B0_stft + ResNet-18v2_cqt + ResNet-18v2_stft,0.2372 + 0.1862 + 0.5530 + 0.0235,0.6255,0.015305,1.1843,0.026385
ensemble_06,EfficientNet-B0_cqcc + EfficientNet-B0_logmel + ResNet-18v2_cqt + ResNet-18v2_logmel,0.0931 + 0.0246 + 0.7526 + 0.1297,0.7212,0.015898,1.3385,0.027966
ensemble_08,EfficientNet-B0_cqcc + EfficientNet-B0_lfcc + ResNet-18v2_cqt + ResNet-18v2_logmel,0.2451 + 0.0428 + 0.3471 + 0.3650,0.7212,0.016351,1.0720,0.028229
ensemble_09,EfficientNet-B0_cqcc + EfficientNet-B0_lfcc + EfficientNet-B0_stft + ResNet-18v2_cqt,0.2427 + 0.0576 + 0.1430 + 0.5567,0.6296,0.016367,1.2204,0.028561
ensemble_10,EfficientNet-B0_cqcc + EfficientNet-B0_cqt + ResNet-18v2_cqt + ResNet-18v2_logmel,0.2153 + 0.1240 + 0.5622 + 0.0985,0.6842,0.016384,1.2492,0.029001
